# Anand et al 2003 Supplementary Table *with derived calculations*
# Modifications from original table:
#    - dmin and dmax: species-specific depth ranges from Anand Table 2 
#    - sal: depth-range specific salinity data from
#      Bermuda biological station S (http://batsftp.bios.edu/Hydrostation_S/bottle/)
#      calculated as the mea sal of bottle data from between the
#      min and max depths, or (when no data existed) sal from the 
#      bottle closest to the min and max depths, on Anand's listed sampling date.
#    - sal_mid, sal_max, sal_min: Salinities at minimum, maximum and mid depth
#      range points estimated from 2D polynomial fit of Station S salinity data.
#      Error (±0.15 psu) is 2sigma calculated from residuals of polynomial fit to data.
#    - sal: mean of sal_min, sal_mid and sal_max. Used in d18Ow and calcT.
#    - d18Ow: delta 18O water, calculated using Eq 1. in Anand et al (2003)
#      (d18Ow = -19.264 + 0.558 * sal)
#    - Ctemp: calcification temperature, calculated using Eq. 3 from Anand et al
#      (16.9 - 4.38 * (d18Oc - (d18Ow - 0.27)) + 0.1 * (d18Oc - (d18Ow - 0.27))**2)
#
Species,Date,Size fraction (um),Mg/Ca (mmol/mol),d18O (per mil),dmin,dmax,ddate,sal_min,sal_max,sal_mid,sal,d18Ow,Ctemp
G. ruber pink,May-78,250-350,2.72,-0.15,0.00,25.00,3042,36.47,36.49,36.48,36.48+/-0.15,1.09+/-0.08,21.3+/-0.4
G. ruber pink,Jul-78,250-350,3.55,-1.12,0.00,25.00,3103,36.44,36.47,36.45,36.45+/-0.15,1.08+/-0.08,25.7+/-0.4
G. ruber pink,Sep-78,250-350,4.63,-1.31,0.00,25.00,3165,36.40,36.43,36.42,36.42+/-0.15,1.06+/-0.08,26.5+/-0.4
G. ruber pink,Jan-79,250-350,3.41,-0.71,0.00,25.00,3287,36.43,36.46,36.45,36.45+/-0.15,1.07+/-0.08,23.8+/-0.4
G. ruber pink,Apr-79,250-350,2.87,-0.32,0.00,25.00,3377,36.44,36.47,36.45,36.45+/-0.15,1.08+/-0.08,22.0+/-0.4
G. ruber pink,Jun-79,250-350,4.55,-1.15,0.00,25.00,3438,36.43,36.46,36.45,36.45+/-0.15,1.07+/-0.08,25.8+/-0.4
G. ruber pink,Nov-79,250-350,4.89,-2.26,0.00,25.00,3591,36.42,36.45,36.44,36.44+/-0.15,1.07+/-0.08,31.2+/-0.4
G. ruber pink,Jul-80,250-350,3.79,-1.50,0.00,25.00,3834,36.44,36.47,36.46,36.46+/-0.15,1.08+/-0.08,27.5+/-0.4
G. ruber pink,Sep-80,250-350,4.26,-1.75,0.00,25.00,3896,36.45,36.48,36.47,36.47+/-0.15,1.09+/-0.08,28.8+/-0.4
G. ruber pink,Nov-80,250-350,4.18,-1.49,0.00,25.00,3957,36.45,36.48,36.46,36.46+/-0.15,1.08+/-0.08,27.5+/-0.4
G. ruber pink,Apr-81,250-350,2.92,-0.25,0.00,25.00,4108,36.52,36.54,36.53,36.53+/-0.15,1.12+/-0.08,21.8+/-0.4
G. ruber pink,Jun-81,250-350,3.75,-0.88,0.00,25.00,4169,36.55,36.57,36.56,36.56+/-0.15,1.13+/-0.08,24.8+/-0.4
G. ruber pink,Nov-81,250-350,4.14,-1.51,0.00,25.00,4322,36.56,36.58,36.57,36.57+/-0.15,1.14+/-0.08,27.9+/-0.4
G. ruber pink,Aug-81,250-350,4.31,-1.60,0.00,25.00,4230,36.55,36.57,36.56,36.56+/-0.15,1.14+/-0.08,28.3+/-0.4
