# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
-49.90,1.76E-03,7.73E+00
-49.80,1.76E-03,7.73E+00
-49.70,1.76E-03,7.73E+00
-49.60,1.76E-03,7.73E+00
-49.50,1.76E-03,7.73E+00
-49.40,1.76E-03,7.73E+00
-49.30,1.76E-03,7.73E+00
-49.20,1.76E-03,7.73E+00
-49.10,1.76E-03,7.73E+00
-49.00,1.76E-03,7.73E+00
-48.90,1.76E-03,7.73E+00
-48.80,1.76E-03,7.73E+00
-48.70,1.76E-03,7.73E+00
-48.60,1.76E-03,7.73E+00
-48.50,1.76E-03,7.73E+00
-48.40,1.76E-03,7.73E+00
-48.30,1.76E-03,7.73E+00
-48.20,1.76E-03,7.73E+00
-48.10,1.76E-03,7.73E+00
-48.00,1.76E-03,7.73E+00
-47.90,1.76E-03,7.73E+00
-47.80,1.76E-03,7.73E+00
-47.70,1.77E-03,7.73E+00
-47.60,1.77E-03,7.73E+00
-47.50,1.77E-03,7.73E+00
-47.40,1.77E-03,7.73E+00
-47.30,1.77E-03,7.73E+00
-47.20,1.77E-03,7.73E+00
-47.10,1.77E-03,7.73E+00
-47.00,1.77E-03,7.73E+00
-46.90,1.77E-03,7.73E+00
-46.80,1.77E-03,7.73E+00
-46.70,1.77E-03,7.73E+00
-46.60,1.77E-03,7.73E+00
-46.50,1.77E-03,7.73E+00
-46.40,1.77E-03,7.73E+00
-46.30,1.77E-03,7.73E+00
-46.20,1.77E-03,7.73E+00
-46.10,1.77E-03,7.73E+00
-46.00,1.77E-03,7.73E+00
-45.90,1.77E-03,7.73E+00
-45.80,1.77E-03,7.73E+00
-45.70,1.77E-03,7.73E+00
-45.60,1.77E-03,7.73E+00
-45.50,1.77E-03,7.73E+00
-45.40,1.77E-03,7.73E+00
-45.30,1.77E-03,7.73E+00
-45.20,1.77E-03,7.73E+00
-45.10,1.77E-03,7.73E+00
-45.00,1.77E-03,7.73E+00
-44.90,1.77E-03,7.73E+00
-44.80,1.77E-03,7.73E+00
-44.70,1.77E-03,7.73E+00
-44.60,1.77E-03,7.73E+00
-44.50,1.77E-03,7.73E+00
-44.40,1.77E-03,7.73E+00
-44.30,1.77E-03,7.73E+00
-44.20,1.77E-03,7.73E+00
-44.10,1.77E-03,7.73E+00
-44.00,1.77E-03,7.73E+00
-43.90,1.77E-03,7.73E+00
-43.80,1.77E-03,7.73E+00
-43.70,1.77E-03,7.73E+00
-43.60,1.77E-03,7.73E+00
-43.50,1.77E-03,7.73E+00
-43.40,1.77E-03,7.73E+00
-43.30,1.77E-03,7.73E+00
-43.20,1.77E-03,7.73E+00
-43.10,1.77E-03,7.73E+00
-43.00,1.77E-03,7.73E+00
-42.90,1.77E-03,7.73E+00
-42.80,1.77E-03,7.73E+00
-42.70,1.77E-03,7.73E+00
-42.60,1.77E-03,7.73E+00
-42.50,1.77E-03,7.73E+00
-42.40,1.77E-03,7.73E+00
-42.30,1.77E-03,7.73E+00
-42.20,1.77E-03,7.73E+00
-42.10,1.77E-03,7.73E+00
-42.00,1.77E-03,7.73E+00
-41.90,1.77E-03,7.73E+00
-41.80,1.77E-03,7.73E+00
-41.70,1.77E-03,7.73E+00
-41.60,1.77E-03,7.73E+00
-41.50,1.77E-03,7.73E+00
-41.40,1.77E-03,7.73E+00
-41.30,1.77E-03,7.73E+00
-41.20,1.77E-03,7.73E+00
-41.10,1.77E-03,7.73E+00
-41.00,1.77E-03,7.73E+00
-40.90,1.77E-03,7.73E+00
-40.80,1.78E-03,7.73E+00
-40.70,1.78E-03,7.73E+00
-40.60,1.78E-03,7.73E+00
-40.50,1.78E-03,7.73E+00
-40.40,1.78E-03,7.73E+00
-40.30,1.78E-03,7.73E+00
-40.20,1.78E-03,7.73E+00
-40.10,1.78E-03,7.73E+00
-40.00,1.78E-03,7.73E+00
-39.90,1.78E-03,7.73E+00
-39.80,1.78E-03,7.73E+00
-39.70,1.78E-03,7.73E+00
-39.60,1.78E-03,7.73E+00
-39.50,1.78E-03,7.73E+00
-39.40,1.78E-03,7.73E+00
-39.30,1.78E-03,7.73E+00
-39.20,1.78E-03,7.73E+00
-39.10,1.78E-03,7.73E+00
-39.00,1.78E-03,7.73E+00
-38.90,1.78E-03,7.73E+00
-38.80,1.78E-03,7.73E+00
-38.70,1.78E-03,7.73E+00
-38.60,1.78E-03,7.73E+00
-38.50,1.78E-03,7.73E+00
-38.40,1.78E-03,7.73E+00
-38.30,1.78E-03,7.73E+00
-38.20,1.78E-03,7.73E+00
-38.10,1.78E-03,7.73E+00
-38.00,1.78E-03,7.73E+00
-37.90,1.78E-03,7.73E+00
-37.80,1.78E-03,7.73E+00
-37.70,1.78E-03,7.73E+00
-37.60,1.78E-03,7.73E+00
-37.50,1.78E-03,7.73E+00
-37.40,1.78E-03,7.73E+00
-37.30,1.78E-03,7.73E+00
-37.20,1.78E-03,7.73E+00
-37.10,1.78E-03,7.73E+00
-37.00,1.78E-03,7.73E+00
-36.90,1.78E-03,7.73E+00
-36.80,1.78E-03,7.73E+00
