Compositedepth_mcd,MgCa_mmolmol,Temp
210.8,3.933,30.4
210.8,3.919,30.3
210.85,4.134,30.9
210.85,4.092,30.8
210.9,4.242,31.2
210.95,4.158,31.0
211,4.309,31.4
211.05,4.708,32.4
211.1,5.487,34.1
211.1,5.401,33.9
211.11,5.406,33.9
211.12,5.517,34.1
211.13,5.523,34.2
211.14,5.571,34.2
211.15,5.282,33.7
211.15,5.189,33.5
211.16,5.592,34.3
211.17,5.369,33.8
211.18,5.267,33.6
211.19,5.419,33.9
211.2,5.224,33.5
211.21,5.188,33.5
211.22,5.151,33.4
211.23,5.176,33.4
211.24,4.989,33.0
211.25,4.732,32.4
211.3,3.706,29.7
211.35,3.618,29.5
211.39,3.724,29.8
