Compositedepth_mcd,d18O,d13C,Temp
210.8,-1.69,3.14,21.7
210.8,-1.55,2.75,21.0
210.8,-1.43,2.86,20.5
210.8,-1.36,3.54,20.1
210.8,-1.23,2.71,19.5
210.85,-1.67,3.25,21.6
210.85,-1.54,3.43,21.0
210.85,-1.46,2.88,20.6
210.85,-1.39,2.48,20.3
210.85,-1.26,2.75,19.7
210.9,-1.54,2.37,21.0
210.9,-1.54,2.44,21.0
210.9,-1.47,2.99,20.6
210.9,-1.45,2.75,20.6
210.9,-1.44,2.55,20.5
210.95,-1.86,3.31,22.5
210.95,-1.74,3.16,21.9
210.95,-1.71,3.09,21.8
210.95,-1.67,1.64,21.6
210.95,-1.49,2.84,20.7
211,-1.71,2.14,21.8
211,-1.56,2.81,21.1
211,-1.55,1.78,21.0
211,-1.49,2.76,20.7
211,-1.25,1.92,19.6
211.05,-1.83,1.97,22.3
211.05,-1.65,1.7,21.5
211.05,-1.61,1.72,21.3
211.05,-1.55,2.2,21.0
211.05,-1.24,1.95,19.6
211.1,-1.9,1.73,22.7
211.1,-1.79,1.05,22.1
211.1,-1.67,1.24,21.6
211.1,-1.58,1.29,21.2
211.1,-1.57,1.42,21.1
211.11,-1.92,1.72,22.8
211.11,-1.8,1.93,22.2
211.11,-1.72,1.85,21.8
211.11,-1.67,1.48,21.6
211.11,-1.63,1.64,21.4
211.12,-1.87,1.79,22.5
211.12,-1.65,1.51,21.5
211.12,-1.63,1.26,21.4
211.12,-1.49,1.22,20.7
211.13,-1.68,1.28,21.6
211.13,-1.68,1.41,21.6
211.13,-1.61,1.4,21.3
211.13,-1.31,1.55,19.9
211.14,-1.77,1.37,22.0
211.14,-1.75,1.2,22.0
211.14,-1.54,1.13,21.0
211.15,-2.19,1,24.0
211.15,-2.11,0.93,23.7
211.15,-2.03,0.64,23.3
211.15,-1.76,0.78,22.0
211.15,-1.62,0.9,21.3
211.16,-2.14,1.48,23.8
211.16,-2.05,1.47,23.4
211.16,-1.92,0.64,22.8
211.16,-1.89,1.39,22.6
211.16,-1.58,1.27,21.2
211.17,-2.2,1.03,24.1
211.17,-2.14,1.32,23.8
211.17,-1.99,0.48,23.1
211.17,-1.76,1.12,22.0
211.17,-1.71,1.02,21.8
211.18,-2.1,1,23.6
211.18,-2.08,0.72,23.5
211.18,-1.95,0.94,22.9
211.18,-1.93,0.57,22.8
211.18,-1.93,1.02,22.8
211.19,-1.98,0.85,23.0
211.19,-1.93,0.99,22.8
211.19,-1.81,1.08,22.2
211.19,-1.7,0.66,21.7
211.19,-1.7,1.31,21.7
211.2,-2.17,0.77,23.9
211.2,-2.13,1.02,23.7
211.2,-1.9,0.93,22.7
211.2,-1.89,1.14,22.6
211.2,-1.86,0.62,22.5
211.21,-2.21,0.57,24.1
211.21,-2.14,0.59,23.8
211.21,-1.98,0.31,23.0
211.21,-1.96,0.47,22.9
211.21,-1.79,0.97,22.1
211.22,-2.06,0.63,23.4
211.22,-1.99,0.7,23.1
211.22,-1.96,0.63,22.9
211.22,-1.95,0.58,22.9
211.22,-1.91,0.67,22.7
211.23,-2.09,0.4,23.6
211.23,-2.01,0.43,23.2
211.23,-1.93,0.75,22.8
211.23,-1.79,0.71,22.1
211.23,-1.77,1.74,22.0
211.23,-1.68,0.73,21.6
211.23,-1.58,1,21.2
211.24,-2.32,0.72,24.7
211.24,-2.16,0.3,23.9
211.24,-2.14,0.7,23.8
211.24,-1.96,0.68,22.9
211.24,-1.94,1.01,22.8
211.24,-1.93,1.24,22.8
211.24,-1.85,0.62,22.4
211.24,-1.83,1.13,22.3
211.25,-1.97,0.9,23.0
211.25,-1.9,0.61,22.7
211.25,-1.89,0.47,22.6
211.25,-1.88,0.88,22.6
211.25,-1.86,1.1,22.5
211.25,-1.86,0.85,22.5
211.25,-1.71,1.2,21.8
211.26,-1.82,0.98,22.3
211.26,-1.79,1.28,22.1
211.26,-1.66,0.89,21.5
211.26,-1.56,4.1,21.1
211.27,-1.64,4.17,21.4
211.27,-1.61,4.18,21.3
211.27,-1.47,3.87,20.6
211.27,-1.24,4.01,19.6
211.28,-1.58,4.03,21.2
211.28,-1.31,4.18,19.9
211.28,-0.73,4.28,17.3
211.29,-1.83,4.47,22.3
211.29,-1.61,4.17,21.3
211.29,-1.24,3.9,19.6
211.3,-1.9,3.97,22.7
211.3,-1.73,3.87,21.9
211.3,-1.51,4.09,20.8
211.3,-1.5,4.01,20.8
211.3,-1.47,3.76,20.6
211.35,-1.56,4.28,21.1
211.35,-1.52,2.09,20.9
211.35,-1.43,4.34,20.5
211.35,-1.31,3.64,19.9
211.39,-1.51,4.3,20.8
211.39,-1.42,3.94,20.4
211.39,-1.14,3.81,19.1
